gene	p
BSN-AS2	0.998912613286107
RNA5SP260	0.9748
HSBP1L1	0.9747
RP11-509M23.1	0.9746
SLC2A3P4	0.9745
RP5-1065P14.2	0.9744
AC115283.1	0.9743
RNU6-600P	0.998860642597575
CTC-367J11.1	0.9741
RNU6-735P	0.9737
CTD-2162K18.5	0.9737
NDUFB2-AS1	0.9737
RP1-288M22.1	0.9733
RP11-375I20.6	0.9732
AC009955.8	0.9732
RNU6-990P	0.9731
CCDC85B	0.9729
FIBP	0.9729
CDKN2AIPNLP2	0.9728
RNA5SP96	0.9726
RNU6-1216P	0.9726
RPS29P20	0.9723
RANBP2	0.9722
RP11-76N22.1	0.972
AC022400.1	0.972
BMS1P4	0.972
RP11-464F9.1	0.972
RP11-574K11.28	0.972
RP11-574K11.29	0.972
CCNT2P1	0.972
RP11-235G24.3	0.9719
MIR571	0.9718
RP11-138H10.2	0.9715
AC005838.2	0.9714
CDRT1	0.9714
RP11-258F22.1	0.9714
RP11-258F22.2	0.9714
ZNF33BP1	0.9714
AP001187.1	0.9712
ATG2A	0.9712
MIR192	0.9712
MIR194-2	0.9712
RP11-665N17.4	0.9712
OR52L2P	0.9711
RP11-188P20.3	0.971
SNRK-AS1	0.971
RP11-341G5.2	0.9706
WFDC10A	0.9703
PSMA6P4	0.9703
RP11-295B17.6	0.9702
RP11-895M11.2	0.998432883853507
RP11-793L10.1	0.97
RNU6-193P	0.9697
NAA50	0.9696
AC004129.7	0.9696
SNORD62A	0.9695
PFKFB4	0.9695
UCN2	0.9695
KEL	0.99834493345753
FABP12	0.9692
FTH1P11	0.998340935712258
RP11-257P3.3	0.999896058622937
CTD-2562J17.9	0.9692
RP11-357G3.2	0.9691
ATG12P2	0.969
RNU6-718P	0.969
RN7SL164P	0.9688
OR1F12	0.9688
AC093702.1	0.9684
RP11-47J17.3	0.998232996589923
FAM96AP2	0.9684
CTD-3222D19.7	0.9683
RN7SL146P	0.9683
SNRPGP14	0.9682
GAMT	0.9673
ZNF771	0.9672
RP11-169K16.7	0.9672
HBB	0.9672
CTD-2117L12.1	0.9672
AL360297.1	0.9671
AMBN	0.9671
DUTP5	0.967
TPT1P6	0.967
RNA5SP305	0.9667
RNA5SP107	0.9666
GZMM	0.9666
RP11-367F23.2	0.9666
RP11-156G14.6	0.9665
PWAR6	0.9664
RP11-701H24.3	0.9664
FZD5	0.9662
RNU6-743P	0.966
AGO4	0.966
RPS4XP4	0.9658
SNORA11B	0.9657
RP11-291H24.1	0.9656
RPL36AP21	0.9653
RPL7P17	0.9652
RP11-158L12.2	0.997845215298572
RP11-333J10.2	0.9651
RN7SL845P	0.965
RP4-533D7.5	0.9641
SMG7-AS1	0.9641
FAR1P1	0.9639
CNNM3	0.9638
RTP3	0.9638
CTB-120L21.1	0.9637
RP11-727M10.1	0.9637
OR4F14P	0.9637
OR4F15	0.9637
RP11-162K11.4	0.997629337053902
RN7SKP5	0.997613346072815
RP11-471L13.3	0.9633
RP11-1109M24.15	0.99757736636537
RP11-404I7.1	0.9629
GMPSP1	0.9629
LINC00847	0.9628
MIR548AE2	0.9627
CTC-523E23.14	0.9627
LINC00904	0.9627
RN7SL114P	0.9625
CTD-2151A2.2	0.9624
CTD-2151A2.3	0.9624
AC068896.1	0.9624
HMGN1P6	0.9624
RN7SKP260	0.9624
CTC-461H2.3	0.9623
OR6R2P	0.9622
MON1A	0.9621
RP11-46P12.1	0.9621
MRPL50P1	0.962
KRT78	0.9614
RP11-153F5.3	0.9614
CTD-2044J15.2	0.997357490375428
RP11-227D2.3	0.9612
RP11-142C4.5	0.9608
PAPD5	0.997305519686897
RP4-798A17.5	0.9607
TOP1P1	0.9607
ARTN	0.9606
EEF1A1P37	0.9605
RP11-73B8.1	0.9604
BRI3	0.9604
OR10H1	0.9604
ZNF861P	0.997253548998365
RN7SL487P	0.9601
ZNF367	0.997209573800377
RP11-449J1.1	0.96
RP11-21G20.1	0.9599
RNU1-47P	0.9598
RP11-121C2.2	0.9597
DHFRL1	0.9594
NSUN3	0.9594
RBBP4P2	0.9594
RP11-242C24.3	0.9593
AC139103.1	0.9997601352837
C8ORF33	0.9997601352837
RNA5SP484	0.9592
CTD-2308G16.1	0.9592
ZNF123P	0.9591
RP11-19F9.1	0.997105632423313
RP11-64K10.1	0.9589
RP11-724N1.1	0.9589
DCAF4L2	0.9588
RN7SKP271	0.9585
AC078881.1	0.9584
OR7E43P	0.9581
RP11-50D9.3	0.958
AC007899.3	0.9579
MYOZ1	0.9578
RP11-464F9.20	0.9578
RP11-464F9.22	0.9578
AC108696.1	0.996873763197557
AC104458.1	0.996865767707013
RP11-53B2.2	0.999716160085712
RP11-350G8.5	0.9572
RP11-350G8.7	0.9572
RP11-705O24.4	0.957
RNU4ATAC11P	0.996821792509025
MT1G	0.9569
CTD-2194F12.1	0.9568
RP11-425I13.1	0.996789810546852
RP11-436A7.1	0.9567
AC023271.1	0.9567
GTF2H3	0.9566
CTD-3224K15.2	0.9566
CTD-3224K15.3	0.9566
AC004840.8	0.9565
CHST12	0.9565
RP4-607J2.1	0.9565
SPINK8	0.9564
RP4-784A16.1	0.9563
RP11-506K19.1	0.9563
ATPAF2	0.9562
GID4	0.9562
USP38	0.9562
RN7SL571P	0.9561
CTD-2555A7.3	0.996701860150875
RP11-307I14.3	0.9559
ANP32BP3	0.9558
RNU6-173P	0.9558
FADD	0.9557
LRG_228	0.9557
RP11-805J14.5	0.9557
RP11-1C8.4	0.9554
RP11-1C8.5	0.9554
RP11-1C8.7	0.9554
RN7SKP240	0.9554
SLITRK5	0.9553
IFNL1	0.99654594808528
TECRP1	0.9551
DOHH	0.955
RN7SL866P	0.955
HIST1H2AB	0.99964020292555
CTD-2373J19.1	0.9547
TYRO3P	0.9544
CHMP6	0.9544
CTD-2561B21.7	0.9544
RP5-1086K13.1	0.996422017981858
EI24	0.9543
RNU6-1156P	0.9543
STT3A-AS1	0.9543
GOLGA6L1	0.954
RP11-566K19.3	0.954
RP11-566K19.4	0.954
RP11-354P11.8	0.9538
RP11-723O4.3	0.9537
RNU6ATAC30P	0.9536
RP11-831F12.4	0.9536
HYPK	0.9534
MIR1282	0.9534
RP11-296A16.1	0.9534
SERF2	0.9534
SERINC4	0.9534
RP11-454K7.1	0.9533
RP11-454K7.3	0.9533
CTSA	0.9532
RP3-337O18.9	0.9532
RP11-295P9.12	0.9532
RNU6ATAC32P	0.9529
RN7SL455P	0.9529
RPL5P18	0.9529
YWHAZP4	0.996214135227732
RNU1-44P	0.9527
AC083949.1	0.999596227727562
OTUB1	0.996118189341212
ZNF717	0.9522
FTLP18	0.9522
AC109335.1	0.952
COPS5	0.952
PPP1R42	0.952
RP5-926E3.1	0.9519
AC002076.10	0.9518
AL158077.1	0.9518
MIR378D2	0.9514
RP11-480D4.6	0.9513
RP11-269F20.1	0.9513
CCDC121	0.9513
GPN1	0.9513
RPL8	0.9512
MFSD7	0.9512
RP11-100E13.3	0.9512
AC012146.7	0.995962277275617
RP11-174J11.1	0.9511
RP4-742N3.1	0.951
KLF3P1	0.9507
HMGN1P5	0.9507
RNU6-799P	0.995930295313443
AC106860.1	0.9505
AC007401.1	0.9505
GS1-531I17.3	0.995902311096542
RPL21P41	0.9505
EIF1	0.9502
RP11-501C14.5	0.9496
RP11-501C14.6	0.9496
RP11-138H8.3	0.9495
RP11-138H8.4	0.9495
RPL29P30	0.9495
SLAMF6P1	0.9494
OR10J8P	0.9493
RP11-515E23.2	0.9489
ZFP62	0.9486
CTD-2184D3.3	0.9486
CECR9	0.9486
RP11-624D20.1	0.9484
RP11-52A20.2	0.9482
C15ORF62	0.948
OR7E122P	0.948
RP11-168P8.3	0.948
RP11-138B4.1	0.9478
RP11-430H12.2	0.99549054333356
WIZ	0.9476
RP11-476H20.1	0.9475
RNU6-38P	0.9474
L34079.4	0.947
PHBP7	0.995398595192312
CDC42P5	0.9468
RP11-705C15.3	0.9467
MIR585	0.9465
MIR5001	0.9462
TIGD1	0.9462
ATP2A1	0.9461
RP11-22P6.3	0.9461
RP11-423J7.1	0.9457
AP005273.1	0.9457
RP11-430L17.1	0.9457
RP11-361K17.2	0.9456
RN7SL842P	0.9453
ACTR6P1	0.9452
CTB-39G8.2	0.9451
NIPA2P4	0.9449
RP4-593H12.1	0.999444313407238
RP11-8P13.1	0.99501081390096
RP11-697G4.4	0.9444
HTR5A-AS1	0.9444
RTF1	0.9443
AC092849.1	0.9443
TSC22D4	0.9443
RP11-278C7.2	0.944
RP11-720L2.3	0.994886883797538
RP11-720L2.4	0.994886883797538
RP11-255J3.2	0.9436
RP11-357F12.1	0.9435
NDUFAF4P4	0.9434
RP11-137L10.6	0.9433
CTC-441N14.1	0.9432
RN7SL137P	0.9432
PDIK1L	0.9432
MGP	0.943
KRT8P49	0.9428
OR51C4P	0.9428
TCN1	0.9427
RP11-431J17.1	0.9425
AC025678.1	0.9424
RP11-602M11.3	0.9424
KRT18P38	0.9424
RN7SL635P	0.9423
SNORD113-6	0.9422
SNORD113-7	0.9422
SNORD113-8	0.9422
SNORD113-9	0.9422
SNORD114-1	0.9422
MIR3121	0.9421
VDAC1P4	0.9421
RP11-368I23.3	0.994575059666348
RP11-368I23.4	0.994575059666348
CTC-261N6.3	0.9421
RP11-510M2.5	0.942
MAP4K2	0.9418
GSTO3P	0.9417
SLC25A44	0.994499102506187
AL354764.1	0.994467120544013
ANO7P1	0.9411
C1ORF134	0.9411
RSG1	0.9411
RP11-278I4.1	0.9411
RP11-256I23.2	0.941
AC084262.3	0.941
NT5C	0.941
RP11-649A18.5	0.941
RP5-1024G6.8	0.994347188185863
AC092104.1	0.9404
AC092104.2	0.9404
AC092104.3	0.9404
MIR3683	0.9404
MIR625	0.9403
AC018470.4	0.9403
RP11-403A21.1	0.9401
AC012362.1	0.9401
AC012362.3	0.9401
CTD-2587H24.1	0.94
RNU7-145P	0.94
MBIP	0.9398
AC011298.1	0.9397
AC011298.2	0.9397
AQP12B	0.9397
RP11-389O22.5	0.9396
AC010240.2	0.9395
ATP6V0E1P1	0.9395
OR6C2	0.9395
AF186192.6	0.9395
ALMS1P	0.9393
RP11-676M6.1	0.9392
RP11-349P19.1	0.994091332488476
RP11-760D2.4	0.939
AC024937.4	0.9389
CTD-2503O16.3	0.9389
IFT46	0.9388
RPL5P30	0.9388
CTD-2535P7.2	0.9387
RP11-77P16.1	0.999276408105828
CTD-2057J6.1	0.9385
RNF25	0.9383
AC090453.1	0.9381
RPL4P2	0.99393142267761
MESDC1	0.9377
MPG	0.9375
Z69720.2	0.9375
RNU6-901P	0.9375
RP11-277J6.2	0.9373
SF3B14	0.9372
RP11-641A6.8	0.9372
RP11-641A6.9	0.9372
RP11-359B20.1	0.9371
AC011379.1	0.993791501593101
CTB-131B5.2	0.993791501593101
AC139100.2	0.993723539923483
ANKRD62P1	0.9362
ANKRD62P1-PARP4P3	0.9362
KB-7G2.8	0.9362
AC009095.4	0.9361
ANKRD23	0.99369155796131
ANKRD39	0.936
SEMA4C	0.936
RP11-810P12.1	0.936
AC130709.1	0.9359
AC011475.1	0.9357
ILF3-AS1	0.9357
SLC44A2	0.99364358501805
FABP5P6	0.9356
RAE1	0.9354
RP11-486E2.1	0.9353
AC092687.5	0.9352
TMEM62	0.9352
AC008940.1	0.9351
RNU6-826P	0.993527650405171
RP11-501C14.7	0.993527650405171
RN7SL530P	0.935
RP11-486F17.1	0.935
RP11-323C15.2	0.935
RN7SL148P	0.935
CTD-2193G5.1	0.9349
RP1-228P16.1	0.9348
CCDC177	0.999864076660763
AL662890.1	0.993407718047021
RP11-73E17.3	0.9342
CTD-2083E4.4	0.9342
AC006080.1	0.9342
NMD3P2	0.934
RP11-624L4.2	0.934
AC055811.1	0.9338
RP11-293A21.1	0.9338
AC100767.1	0.9337
PRKRIRP4	0.9337
CAMKV	0.99325980147197
RN7SL217P	0.99325980147197
RP11-351O1.4	0.9333
ZFAND6P1	0.9332
AC104037.1	0.9331
RP11-521C20.2	0.933
RP11-521C20.3	0.933
CTB-52I2.3	0.9329
RNA5SP290	0.9327
CYP2C56P	0.9327
RP11-100K18.1	0.993051918717843
GAPDHP66	0.9325
RP11-256K7.1	0.9324
RPL5P10	0.9323
RP11-857B24.1	0.9323
RP11-135L13.4	0.9322
RP3-337D23.3	0.992963968321867
YOD1	0.932
CRYZP2	0.9318
ZNF517	0.992907999888063
AK4P4	0.992888011161705
RP11-553K8.2	0.9316
CTF1	0.9315
LRG_408	0.9315
MIR762	0.9315
OR8B3	0.9314
FEM1AP2	0.9314
TERF1P2	0.9314
RP11-353N14.4	0.9314
CTC-287O8.1	0.9313
RNU4-7P	0.9313
RNU6-750P	0.9313
G6PC3	0.9311
LRG_182	0.9311
TPRKB	0.9311
RP11-255I10.1	0.9311
AC020703.1	0.9309
RN7SL34P	0.9309
PBOV1	0.992700117133936
RP11-485O14.1	0.992680128407578
CATSPERD	0.99266013968122
HOXB8	0.992632155464318
NR2E1	0.992596175756873
RP11-212D19.5	0.99258818026633
CTD-2330K9.2	0.9295
CTD-2330K9.3	0.992496232125081
RP11-461F11.3	0.9295
CTD-2529P6.3	0.9295
CTD-2529P6.4	0.9295
MBD3L1	0.9295
PGBD4P7	0.9294
SCGB1D4	0.9292
CTRC	0.99242027496492
AC012497.2	0.9291
RP11-889L3.4	0.9291
RP11-384C4.2	0.9291
SNORA16B	0.9291
PALM3	0.929
RNU6-74P	0.9289
HSD11B2	0.9289
BCAS2	0.9287
RP4-753D10.3	0.9284
SSTR4	0.9284
RP13-104F24.3	0.9284
RRP9	0.9282
RP11-564C24.1	0.9282
AC099759.1	0.9282
RP11-404E6.1	0.928
RP11-87N24.2	0.928
RP11-97N10.1	0.992144430541175
MIR4703	0.992128439560088
RP11-1136G4.1	0.9277
MIR340	0.9276
RP11-780M14.1	0.9275
RN7SL160P	0.992008507201938
RP4-631H13.4	0.9275
RNU6-770P	0.9273
RP3-466I7.1	0.9273
RP11-70C1.3	0.9273
RTN3P1	0.9273
RP11-760D2.5	0.9272
AC010095.7	0.9272
AC093700.1	0.927
RP11-815N9.2	0.927
NADK2-AS1	0.927
RP4-737E23.2	0.991888574843788
AC090673.1	0.9269
RP11-383C5.5	0.9267
RNU1-70P	0.9265
AC006035.1	0.9264
RP11-196O16.1	0.9264
RP11-598O8.1	0.991776637976181
GAPT	0.9262
RP3-380B8.4	0.998840653871217
AC093766.1	0.991636716891673
RNU6-950P	0.991624723655858
RP11-44M6.3	0.9258
RP11-9G1.3	0.9256
CORO6	0.9256
RP11-247A12.2	0.998808671909043
MIR3665	0.9252
RP11-19P22.10	0.925
RP11-19P22.2	0.925
RP11-19P22.3	0.925
RP11-19P22.6	0.925
RP11-12M5.1	0.991452820609176
RP11-372M18.2	0.9249
RNU6-65P	0.991416840901731
RN7SL53P	0.9248
RNU6-902P	0.9248
RP11-312A15.3	0.9247
FAM109A	0.9246
RP3-473L9.4	0.9913648702132
RN7SKP1	0.9244
KRT8P25	0.9244
RP11-646E18.3	0.9243
PSPC1	0.9243
RN7SL166P	0.9243
CTD-2083E4.6	0.9241
SDHA	0.9241
CD2BP2	0.9239
RP11-347C12.10	0.9239
CTD-2622I13.3	0.9233
ZBTB7A	0.9233
MIR4277	0.9232
RP11-479I16.2	0.9231
RN7SL713P	0.9231
CTD-2377O17.1	0.990973091176576
CNP	0.923
RP11-543B16.1	0.9226
RN7SL401P	0.9223
RN7SL122P	0.9223
ALDH6A1	0.998600789154917
TPM3P2	0.990805185875166
OTUD4	0.9219
RNU6-658P	0.9218
GS1-69O6.1	0.99071723547919
TARDBPP1	0.990709239988646
RP11-15B24.2	0.9217
RP11-113D6.10	0.9216
RP11-831F12.3	0.99066926253593
RP11-430L3.1	0.9906452760643
RP11-215G15.5	0.9214
RP11-54F2.1	0.9214
RP11-360A18.2	0.990629285083213
LFNG	0.921
RNU6-838P	0.9207
RNU6-868P	0.9207
F12	0.9207
LRG_145	0.9207
RP11-457P14.6	0.9206
CCDC94	0.9205
RNU6-129P	0.9205
ADAP1	0.9201
AC107016.2	0.92
ZNF16	0.998480856796767
AC006534.2	0.92
KRT8P7	0.9199
RP11-255E6.5	0.9199
HSPA8P16	0.9197
APITD1	0.9196
APITD1-CORT	0.9196
CORT	0.9196
RP11-100G15.7	0.9196
RP3-333A15.2	0.990201526339145
RP11-1008C21.2	0.990169544376971
TRBV6-5	0.9193
TRBV7-4	0.9193
RP11-483A20.3	0.99009358721681
CASP3P1	0.9189
CTD-3032J10.3	0.990041616528278
RP11-434O22.2	0.9187
SDR42E1	0.9187
RNY1P5	0.9186
SLC25A40	0.9184
DLX5	0.9183
RP11-71G12.1	0.9183
RNA5SP183	0.9183
CTD-2643K12.1	0.9181
RP11-589B3.6	0.989881706717411
SGOL1-AS1	0.989873711226868
C16ORF71	0.9179
RP11-127I20.7	0.9179
RNU6-720P	0.9178
RP4-631H13.2	0.9177
RP11-443N24.1	0.9177
RP11-521J24.1	0.9174
LINC00444	0.917
MIR5191	0.9168
AC005007.3	0.989513914152418
AC103563.8	0.9166
PSMC1P10	0.989489927680788
RP11-159C21.4	0.9165
RN7SKP119	0.9164
BX470102.3	0.9163
S100A3	0.9163
S100A4	0.9163
S100A5	0.9163
S100A6	0.9163
DNAJA2	0.9163
RP4-549F15.1	0.9163
RN7SL524P	0.9163
RP11-787I22.3	0.9163
NYAP1	0.989354004341551
LINC00460	0.9161
RAB11FIP2	0.916
RP11-354M20.3	0.916
VARS	0.9159
RN7SL85P	0.9159
AC006026.10	0.9158
AC023992.1	0.9157
RP11-364M6.1	0.99827297404264
RP11-214N9.1	0.9155
LRG_44	0.989178103549598
RP11-818F20.5	0.989166110313783
RPL18AP3	0.989166110313783
RNU6-830P	0.989098148644165
ZBTB26	0.998240992080467
ZBTB6	0.998240992080467
AL353671.4	0.9145
IGLV9-49	0.9142
LL22NC03-80A10.11	0.9142
SOX5P	0.988834297456235
HIST1H1PS1	0.988790322258246
AC080094.1	0.9136
RP11-387D10.3	0.9136
RNU6-551P	0.9134
RP1-59D14.1	0.988686380881183
RP11-343H5.6	0.988622416956836
AC004079.1	0.9128
HSPA1L	0.9127
LSM2	0.988598430485206
RNA5SP28	0.9126
AUNIP	0.988574444013576
RP1-317E23.7	0.9126
RP11-64I17.1	0.988530468815588
AL133260.1	0.988522473325045
SNORD29	0.9123
ACTBP13	0.9122
MST1R	0.988466504891241
POP5	0.9122
RNU6-852P	0.988450513910155
RPS4XP17	0.9121
RP11-438N5.2	0.9121
RP3-395M20.8	0.912
BZW1P1	0.912
RP5-1024N4.2	0.988358565768906
RP11-575M4.1	0.9115
RNU6-1	0.9114
RP11-34F13.2	0.9114
PIP	0.911
HMGB3P8	0.9109
ATP13A5-AS1	0.9109
RP11-50E11.2	0.9107
RP11-50E11.3	0.98805473712826
AL606519.1	0.9106
RPS17L	0.9104
RP11-3B12.4	0.9104
CTC-563A5.4	0.9103
RPS15AP18	0.987978779968098
CTB-179K24.3	0.98795879124174
GEMIN7	0.98795879124174
ZNF296	0.9103
AC013436.6	0.9102
ATP5F1P2	0.987922811534295
MIR3684	0.9099
RP11-71C5.2	0.9099
RP1-179N16.3	0.9093
RN7SKP125	0.997909179222918
ATP6V0CP2	0.9093
AC034198.7	0.9092
MARS2	0.9091
FAF2P1	0.9089
MIR4455	0.997873199515473
NUDCD1	0.987583003186203
ARL14	0.9087
ECHDC2	0.9875270347524
MIR1273F	0.9875270347524
MIR1273G	0.9875270347524
MIR5095	0.9875270347524
RP4-631H13.5	0.9086
HIF1AN	0.9086
RP11-565H13.3	0.987419095630065
CTD-2537L20.1	0.908
RP11-495K9.5	0.987363127196261
RP11-485O10.2	0.9078
MIR4289	0.9076
AC012671.4	0.9076
ZNF76	0.9073
TIAF1	0.98716723767795
RP11-111N20.4	0.9072
CTC-360P9.1	0.987099276008331
AC073255.1	0.987063296300886
RP11-627G18.1	0.987039309829256
TRMT61B	0.986943363942736
RNU6-291P	0.9061
RPL39P6	0.9061
C11ORF57	0.906
TIMM8B	0.906
SDAD1P2	0.986907384235291
ZNF621	0.986899388744748
RP11-855A2.3	0.9058
CTB-1I21.1	0.9055
RP11-955H22.2	0.986799445112956
RNA5SP245	0.986767463150783
CTA-363E6.5	0.98675946766024
MIR3137	0.9053
RP11-844P9.3	0.9053
RP11-230B22.1	0.986703499226436
DDX50P1	0.9052
RP11-631M6.2	0.9051
RNU6-678P	0.905
CTD-3037G24.4	0.9049
BOLA1	0.9049
RP11-610J23.1	0.98659156235883
RP11-616K22.2	0.9047
PA2G4	0.997653323525532
RP11-603J24.17	0.997653323525532
RP11-603J24.9	0.997653323525532
