Gene Symbol	Gene Id	Gene Description	Disease Id	Disease Code	Disease Name	Psychiatric disorder	Evidence Index	# Publications	Disease Id	# Publications Validated	Gene Id	Disease Id	# Publications Validated	Gene Id	# Publications Validated	Disease Id	Gene Id	# Publications Validated
PDE4B	5142	phosphodiesterase 4B, cAMP-specific	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	4	umls:C0005586	4	5142	umls:C0005586	4	5142	4	umls:C0005586	5142	4
GRIK2	2898	glutamate receptor, ionotropic, kainate 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	3	2898	umls:C0005586	3	2898	3	umls:C0005586	2898	3
TACR1	6869	tachykinin receptor 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	3	6869	umls:C0005586	3	6869	3	umls:C0005586	6869	3
SERPINA1	5265	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	5265	umls:C0005586	2	5265	2	umls:C0005586	5265	2
AKR1C4	1109	aldo-keto reductase family 1, member C4	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	1109	umls:C0005586	2	1109	2	umls:C0005586	1109	2
POMC	5443	proopiomelanocortin	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	5443	umls:C0005586	1	5443	1	umls:C0005586	5443	1
NRG1	3084	neuregulin 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	37	umls:C0005586	5	3084	umls:C0005586	5	3084	5	umls:C0005586	3084	5
SLC6A3	6531	solute carrier family 6 (neurotransmitter transporter), member 3	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	35	umls:C0005586	5	6531	umls:C0005586	5	6531	5	umls:C0005586	6531	5
DAOA	267012	D-amino acid oxidase activator	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	22	umls:C0005586	5	267012	umls:C0005586	5	267012	5	umls:C0005586	267012	5
DISC1	27185	disrupted in schizophrenia 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	57	umls:C0005586	5	27185	umls:C0005586	5	27185	5	umls:C0005586	27185	5
DRD3	1814	dopamine receptor D3	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	21	umls:C0005586	5	1814	umls:C0005586	5	1814	5	umls:C0005586	1814	5
DRD2	1813	dopamine receptor D2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	29	umls:C0005586	5	1813	umls:C0005586	5	1813	5	umls:C0005586	1813	5
CLOCK	9575	clock circadian regulator	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	34	umls:C0005586	5	9575	umls:C0005586	5	9575	5	umls:C0005586	9575	5
DTNBP1	84062	dystrobrevin binding protein 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	12	umls:C0005586	5	84062	umls:C0005586	5	84062	5	umls:C0005586	84062	5
TPH2	121278	tryptophan hydroxylase 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	17	umls:C0005586	5	121278	umls:C0005586	5	121278	5	umls:C0005586	121278	5
P2RX7	5027	purinergic receptor P2X, ligand gated ion channel, 7	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	14	umls:C0005586	5	5027	umls:C0005586	5	5027	5	umls:C0005586	5027	5
NR1D1	9572	nuclear receptor subfamily 1, group D, member 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	8	umls:C0005586	5	9572	umls:C0005586	5	9572	5	umls:C0005586	9572	5
GABRA5	2558	gamma-aminobutyric acid (GABA) A receptor, alpha 5	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	5	umls:C0005586	5	2558	umls:C0005586	5	2558	5	umls:C0005586	2558	5
DGKH	160851	diacylglycerol kinase, eta	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	10	umls:C0005586	5	160851	umls:C0005586	5	160851	5	umls:C0005586	160851	5
DRD4	1815	dopamine receptor D4	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	17	umls:C0005586	5	1815	umls:C0005586	5	1815	5	umls:C0005586	1815	5
ARNTL	406	aryl hydrocarbon receptor nuclear translocator-like	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	7	umls:C0005586	5	406	umls:C0005586	5	406	5	umls:C0005586	406	5
PER3	8863	period circadian clock 3	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	8	umls:C0005586	5	8863	umls:C0005586	5	8863	5	umls:C0005586	8863	5
GAD1	2571	glutamate decarboxylase 1 (brain, 67kDa)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	15	umls:C0005586	5	2571	umls:C0005586	5	2571	5	umls:C0005586	2571	5
NAPG	8774	N-ethylmaleimide-sensitive factor attachment protein, gamma	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	3	8774	umls:C0005586	3	8774	3	umls:C0005586	8774	3
ZNF804A	91752	zinc finger protein 804A	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	25	umls:C0005586	5	91752	umls:C0005586	5	91752	5	umls:C0005586	91752	5
DFNB31	25861	deafness, autosomal recessive 31	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	25861	umls:C0005586	1	25861	1	umls:C0005586	25861	1
NCAM1	4684	neural cell adhesion molecule 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	6	umls:C0005586	5	4684	umls:C0005586	5	4684	5	umls:C0005586	4684	5
GRIK4	2900	glutamate receptor, ionotropic, kainate 4	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	5	umls:C0005586	5	2900	umls:C0005586	5	2900	5	umls:C0005586	2900	5
ESR1	2099	estrogen receptor 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	5	umls:C0005586	5	2099	umls:C0005586	5	2099	5	umls:C0005586	2099	5
TDO2	6999	tryptophan 2,3-dioxygenase	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	18	umls:C0005586	5	6999	umls:C0005586	5	6999	5	umls:C0005586	6999	5
TIMELESS	8914	timeless circadian clock	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	6	umls:C0005586	5	8914	umls:C0005586	5	8914	5	umls:C0005586	8914	5
GABRA3	2556	gamma-aminobutyric acid (GABA) A receptor, alpha 3	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	5	umls:C0005586	5	2556	umls:C0005586	5	2556	5	umls:C0005586	2556	5
CSNK1E	1454	casein kinase 1, epsilon	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	5	umls:C0005586	5	1454	umls:C0005586	5	1454	5	umls:C0005586	1454	5
RORA	6095	RAR-related orphan receptor A	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	5	umls:C0005586	5	6095	umls:C0005586	5	6095	5	umls:C0005586	6095	5
CRY2	1408	cryptochrome circadian clock 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	4	umls:C0005586	4	1408	umls:C0005586	4	1408	4	umls:C0005586	1408	4
ARNTL2	56938	aryl hydrocarbon receptor nuclear translocator-like 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	56938	umls:C0005586	2	56938	2	umls:C0005586	56938	2
BHLHE40	8553	basic helix-loop-helix family, member e40	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	8553	umls:C0005586	2	8553	2	umls:C0005586	8553	2
RFX4	5992	regulatory factor X, 4 (influences HLA class II expression)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	5992	umls:C0005586	2	5992	2	umls:C0005586	5992	2
GABRB1	2560	gamma-aminobutyric acid (GABA) A receptor, beta 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	2560	umls:C0005586	2	2560	2	umls:C0005586	2560	2
FYN	2534	FYN proto-oncogene, Src family tyrosine kinase	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	2534	umls:C0005586	2	2534	2	umls:C0005586	2534	2
BHLHE41	79365	basic helix-loop-helix family, member e41	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	79365	umls:C0005586	1	79365	1	umls:C0005586	79365	1
SORCS2	57537	sortilin-related VPS10 domain containing receptor 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	57537	umls:C0005586	1	57537	1	umls:C0005586	57537	1
GNB3	2784	guanine nucleotide binding protein (G protein), beta polypeptide 3	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	2784	umls:C0005586	1	2784	1	umls:C0005586	2784	1
GPR50	9248	G protein-coupled receptor 50	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	5	umls:C0005586	5	9248	umls:C0005586	5	9248	5	umls:C0005586	9248	5
AKT1	207	v-akt murine thymoma viral oncogene homolog 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	5	umls:C0005586	5	207	umls:C0005586	5	207	5	umls:C0005586	207	5
SLC18A1	6570	solute carrier family 18 (vesicular monoamine transporter), member 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	4	umls:C0005586	4	6570	umls:C0005586	4	6570	4	umls:C0005586	6570	4
INPP1	3628	inositol polyphosphate-1-phosphatase	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	4	umls:C0005586	4	3628	umls:C0005586	4	3628	4	umls:C0005586	3628	4
IL1B	3553	interleukin 1, beta	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	5	umls:C0005586	5	3553	umls:C0005586	5	3553	5	umls:C0005586	3553	5
NCAN	1463	neurocan	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	8	umls:C0005586	5	1463	umls:C0005586	5	1463	5	umls:C0005586	1463	5
TAAR6	319100	trace amine associated receptor 6	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	3	319100	umls:C0005586	3	319100	3	umls:C0005586	319100	3
SLC18A2	6571	solute carrier family 18 (vesicular monoamine transporter), member 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	3	6571	umls:C0005586	3	6571	3	umls:C0005586	6571	3
PCNT	5116	pericentrin	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	3	5116	umls:C0005586	3	5116	3	umls:C0005586	5116	3
NPAS2	4862	neuronal PAS domain protein 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	5	umls:C0005586	5	4862	umls:C0005586	5	4862	5	umls:C0005586	4862	5
WFS1	7466	Wolfram syndrome 1 (wolframin)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	8	umls:C0005586	5	7466	umls:C0005586	5	7466	5	umls:C0005586	7466	5
MCHR2	84539	melanin-concentrating hormone receptor 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	84539	umls:C0005586	2	84539	2	umls:C0005586	84539	2
NPAS3	64067	neuronal PAS domain protein 3	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	3	64067	umls:C0005586	3	64067	3	umls:C0005586	64067	3
PBRM1	55193	polybromo 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	3	55193	umls:C0005586	3	55193	3	umls:C0005586	55193	3
HTR3B	9177	5-hydroxytryptamine (serotonin) receptor 3B, ionotropic	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	9177	umls:C0005586	2	9177	2	umls:C0005586	9177	2
TNF	7124	tumor necrosis factor	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	5	umls:C0005586	5	7124	umls:C0005586	5	7124	5	umls:C0005586	7124	5
SSTR5	6755	somatostatin receptor 5	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	6755	umls:C0005586	2	6755	2	umls:C0005586	6755	2
SCN8A	6334	sodium channel, voltage gated, type VIII alpha subunit	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	6334	umls:C0005586	2	6334	2	umls:C0005586	6334	2
ITIH3	3699	inter-alpha-trypsin inhibitor heavy chain 3	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	4	umls:C0005586	4	3699	umls:C0005586	4	3699	4	umls:C0005586	3699	4
IL1RN	3557	interleukin 1 receptor antagonist	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	3557	umls:C0005586	2	3557	2	umls:C0005586	3557	2
HTR5A	3361	5-hydroxytryptamine (serotonin) receptor 5A, G protein-coupled	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	3361	umls:C0005586	2	3361	2	umls:C0005586	3361	2
HTR3A	3359	5-hydroxytryptamine (serotonin) receptor 3A, ionotropic	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	3359	umls:C0005586	2	3359	2	umls:C0005586	3359	2
GRM4	2914	glutamate receptor, metabotropic 4	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	2914	umls:C0005586	2	2914	2	umls:C0005586	2914	2
GABRB3	2562	gamma-aminobutyric acid (GABA) A receptor, beta 3	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	2562	umls:C0005586	2	2562	2	umls:C0005586	2562	2
ATF4	468	activating transcription factor 4	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	468	umls:C0005586	2	468	2	umls:C0005586	468	2
AGT	183	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	183	umls:C0005586	2	183	2	umls:C0005586	183	2
SLC39A3	29985	solute carrier family 39 (zinc transporter), member 3	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	29985	umls:C0005586	1	29985	1	umls:C0005586	29985	1
GPR78	27201	G protein-coupled receptor 78	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	27201	umls:C0005586	1	27201	1	umls:C0005586	27201	1
DOCK9	23348	dedicator of cytokinesis 9	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	23348	umls:C0005586	1	23348	1	umls:C0005586	23348	1
ATF5	22809	activating transcription factor 5	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	22809	umls:C0005586	1	22809	1	umls:C0005586	22809	1
NEK4	6787	NIMA-related kinase 4	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	6787	umls:C0005586	2	6787	2	umls:C0005586	6787	2
PPARD	5467	peroxisome proliferator-activated receptor delta	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	5467	umls:C0005586	1	5467	1	umls:C0005586	5467	1
MTR	4548	5-methyltetrahydrofolate-homocysteine methyltransferase	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	4548	umls:C0005586	1	4548	1	umls:C0005586	4548	1
MTHFD1	4522	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	4522	umls:C0005586	1	4522	1	umls:C0005586	4522	1
ITIH1	3697	inter-alpha-trypsin inhibitor heavy chain 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	3697	umls:C0005586	2	3697	2	umls:C0005586	3697	2
GNAL	2774	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	2774	umls:C0005586	1	2774	1	umls:C0005586	2774	1
GABRR2	2570	gamma-aminobutyric acid (GABA) A receptor, rho 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	2570	umls:C0005586	1	2570	1	umls:C0005586	2570	1
GABRR1	2569	gamma-aminobutyric acid (GABA) A receptor, rho 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	2569	umls:C0005586	2	2569	2	umls:C0005586	2569	2
GABRG1	2565	gamma-aminobutyric acid (GABA) A receptor, gamma 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	2565	umls:C0005586	1	2565	1	umls:C0005586	2565	1
GABRB2	2561	gamma-aminobutyric acid (GABA) A receptor, beta 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	2561	umls:C0005586	1	2561	1	umls:C0005586	2561	1
GABRA1	2554	gamma-aminobutyric acid (GABA) A receptor, alpha 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	2554	umls:C0005586	1	2554	1	umls:C0005586	2554	1
DSCAM	1826	Down syndrome cell adhesion molecule	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	1826	umls:C0005586	1	1826	1	umls:C0005586	1826	1
CAMK2A	815	calcium/calmodulin-dependent protein kinase II alpha	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	815	umls:C0005586	1	815	1	umls:C0005586	815	1
ATP1A1	476	ATPase, Na+/K+ transporting, alpha 1 polypeptide	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	476	umls:C0005586	1	476	1	umls:C0005586	476	1
ADM	133	adrenomedullin	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	3	133	umls:C0005586	3	133	3	umls:C0005586	133	3
DAOA-AS1	282706	DAOA antisense RNA 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	6	umls:C0005586	5	282706	umls:C0005586	5	282706	5	umls:C0005586	282706	5
PFKL	5211	phosphofructokinase, liver	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	6	umls:C0005586	5	5211	umls:C0005586	5	5211	5	umls:C0005586	5211	5
GRIA3	2892	glutamate receptor, ionotropic, AMPA 3	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	5	umls:C0005586	5	2892	umls:C0005586	5	2892	5	umls:C0005586	2892	5
G6PD	2539	glucose-6-phosphate dehydrogenase	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	11	umls:C0005586	5	2539	umls:C0005586	5	2539	5	umls:C0005586	2539	5
DBH	1621	dopamine beta-hydroxylase (dopamine beta-monooxygenase)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	5	umls:C0005586	5	1621	umls:C0005586	5	1621	5	umls:C0005586	1621	5
BRD1	23774	bromodomain containing 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	4	umls:C0005586	4	23774	umls:C0005586	4	23774	4	umls:C0005586	23774	4
ERBB4	2066	erb-b2 receptor tyrosine kinase 4	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	5	umls:C0005586	5	2066	umls:C0005586	5	2066	5	umls:C0005586	2066	5
DLG4	1742	discs, large homolog 4 (Drosophila)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	4	umls:C0005586	4	1742	umls:C0005586	4	1742	4	umls:C0005586	1742	4
DLG3	1741	discs, large homolog 3 (Drosophila)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	4	umls:C0005586	4	1741	umls:C0005586	4	1741	4	umls:C0005586	1741	4
BCR	613	breakpoint cluster region	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	4	umls:C0005586	4	613	umls:C0005586	4	613	4	umls:C0005586	613	4
ANKK1	255239	ankyrin repeat and kinase domain containing 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	3	255239	umls:C0005586	3	255239	3	umls:C0005586	255239	3
PPP1R1B	84152	protein phosphatase 1, regulatory (inhibitor) subunit 1B	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	4	umls:C0005586	4	84152	umls:C0005586	4	84152	4	umls:C0005586	84152	4
SLC12A6	9990	solute carrier family 12 (potassium/chloride transporter), member 6	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	3	9990	umls:C0005586	3	9990	3	umls:C0005586	9990	3
TSNAX	7257	translin-associated factor X	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	3	7257	umls:C0005586	3	7257	3	umls:C0005586	7257	3
HSP90B1	7184	heat shock protein 90kDa beta (Grp94), member 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	3	7184	umls:C0005586	3	7184	3	umls:C0005586	7184	3
NEFL	4747	neurofilament, light polypeptide	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	3	4747	umls:C0005586	3	4747	3	umls:C0005586	4747	3
FGFR1	2260	fibroblast growth factor receptor 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	3	2260	umls:C0005586	3	2260	3	umls:C0005586	2260	3
DNMT1	1786	DNA (cytosine-5-)-methyltransferase 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	1786	umls:C0005586	2	1786	2	umls:C0005586	1786	2
BAG1	573	BCL2-associated athanogene	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	5	umls:C0005586	5	573	umls:C0005586	5	573	5	umls:C0005586	573	5
TSNAX-DISC1	100303453	TSNAX-DISC1 readthrough (NMD candidate)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	100303453	umls:C0005586	2	100303453	2	umls:C0005586	100303453	2
PGP	283871	phosphoglycolate phosphatase	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	283871	umls:C0005586	2	283871	2	umls:C0005586	283871	2
PROKR2	128674	prokineticin receptor 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	128674	umls:C0005586	2	128674	2	umls:C0005586	128674	2
