gene	p
AC078819.1	0.9903
CTD-2555A7.1	0.9901
RP11-420M1.2	0.9901
RNU6-366P	0.99
RP11-545A16.4	0.9899
LETM2	0.9898
RP11-350N15.6	0.9898
MRPS25	0.9897
RAB7L1	0.9897
CTD-2538G9.5	0.9897
CTC-248O19.1	0.9897
TEFM	0.999772128519515
SUMO1	0.9894
PSD2	0.9893
RP3-407E4.4	0.9893
AC104131.1	0.989
RP4-651E10.3	0.989
RP11-384A12.1	0.9887
NPAS1	0.9886
TMEM160	0.9886
RP11-133K1.7	0.9886
RNU6-374P	0.9886
HES1	0.9885
CTB-36O1.7	0.9885
MTND5P11	0.9885
MTND6P4	0.9885
CRHR1-IT1	0.9884
RPL29P3	0.9882
TPRKBP1	0.9881
RP11-115M14.1	0.9877
BANF1P3	0.9876
RP11-351O1.4	0.9876
RNU6-480P	0.9875
CHMP1A	0.9875
RP11-133K1.1	0.9874
RP11-133K1.6	0.9874
MIR4262	0.9872
TRBV6-6	0.9872
TRBV7-5	0.9872
CTD-2302E22.4	0.987
AL160274.1	0.9867
RN7SL653P	0.9867
RP11-554D14.2	0.9866
RP11-554D14.3	0.9866
RP1-65J11.5	0.9865
RP11-367J7.3	0.9864
LINC00543	0.9863
HINT1	0.9861
RP11-157L10.1	0.9861
RAB11FIP2	0.9858
RP11-354M20.3	0.9858
RP11-742N3.1	0.9858
RN7SL482P	0.9857
AC006116.13	0.9856
AC006116.14	0.9856
KRT8P9	0.9853
AL590482.1	0.9852
RP11-977B10.2	0.9851
RP11-403P13.1	0.985
AC022716.1	0.9849
RNA5SP249	0.9848
OR4D10	0.9848
RP11-384C21.9	0.9848
SLC25A28	0.9847
ZNF561	0.9847
RN7SL216P	0.9846
RN7SL255P	0.9844
EPPK1	0.999492286350498
AC098869.1	0.999484290859955
CCT6A	0.9843
PSPH	0.9843
SNORA22	0.9843
RP11-159A18.1	0.9841
RN7SL530P	0.9841
ZSWIM1	0.9841
RP11-445H22.3	0.984
CIR1P3	0.984
RP11-384K6.6	0.984
MIR3940	0.9839
DUTP3	0.9837
DPF1	0.9836
AY269186.2	0.9836
AC099796.1	0.9835
ZNF714	0.9835
RP11-35G22.1	0.9834
PCDHB5	0.9832
RN7SL633P	0.9832
AHSP	0.9832
RN7SL671P	0.9831
RP11-324H7.1	0.983
RP11-453N18.1	0.9828
RP11-419N10.5	0.9828
GINS2	0.9827
OR52R1	0.9826
RP11-104N10.1	0.9826
ALG12	0.9825
CITF22-1A6.3	0.9825
PRPF19	0.9825
RP11-271M24.2	0.9824
RNU1-45P	0.9817
RP11-330C7.3	0.9816
SERPINB4	0.9816
RP11-390P2.2	0.9815
RNU6-362P	0.9812
RP11-10N16.2	0.9812
RP11-305L7.7	0.9811
RP11-159F24.2	0.9811
RP11-332E3.2	0.9811
ZSCAN16	0.9811
ZSCAN16-AS1	0.9811
MIRLET7A1	0.981
MIRLET7F1	0.981
RP11-352E6.1	0.9809
RP11-352E6.2	0.9809
TAAR7P	0.9809
RNU7-127P	0.9807
RP4-593M8.1	0.9806
AC098680.1	0.9805
GLRXP3	0.9804
RPS4XP7	0.9804
RP4-789D17.4	0.9803
RP11-290I21.2	0.9803
TK2	0.9801
RP11-324L3.5	0.9799
AC016292.3	0.9799
RPL21P41	0.9797
AC093162.5	0.9796
LINC00556	0.9795
PPIAP28	0.9795
CTC-479C5.10	0.9794
NRN1L	0.9794
UBE2T	0.9793
RPPH1	0.9791
ACTG1P13	0.9791
CNIH1	0.999180462219308
DYDC1	0.979
LINC00919	0.9788
IGBP1P4	0.999168468983493
FAM177B	0.9787
EOMES	0.9786
RP11-222K16.2	0.9786
ATP5LP2	0.9785
FCRL1	0.9785
RP11-40G16.1	0.9784
METTL7A	0.9784
RP11-317J10.2	0.9782
AC106883.1	0.9782
HNRNPA1P34	0.9782
HNRNPA1P41	0.9781
HSPE1P27	0.978
GPBAR1	0.978
RP11-378A13.1	0.978
RP11-782K4.1	0.9779
AC139100.3	0.9777
RP11-73K9.3	0.9776
TIFA	0.9776
HAND2	0.9776
RPL5P28	0.9775
FMOD	0.999032545644257
RNU6-839P	0.9774
CTD-2333M24.1	0.9773
AE000658.31	0.9773
TRAV3	0.9773
RPL36AP6	0.9771
PATL1	0.9769
AC079602.1	0.998980574955725
HNF1A-AS1	0.998980574955725
RNU1-36P	0.9764
RN7SL338P	0.9764
SLC16A11	0.9763
SLC16A13	0.9763
RNU6-172P	0.9762
CYBA	0.9759
LRG_52	0.9759
RP11-513O17.3	0.9758
HSD3B1	0.9756
RP11-219J21.1	0.9756
RP11-333I13.1	0.9756
RP4-810F7.1	0.9755
RP11-326K13.4	0.9755
GJA8	0.9754
AL160037.1	0.9754
AC092364.4	0.9753
MIR1273D	0.9753
RP3-422G23.3	0.9753
CTD-2587H24.1	0.9752
RPS14P7	0.9748
RNU2-48P	0.9748
AC012363.10	0.9747
MTND3P10	0.9747
MTND4P26	0.9747
MTND5P28	0.9747
TMEM185B	0.9747
AP001092.4	0.9746
RP6-65G23.3	0.9746
IGHV3-79	0.9745
IGHVII-78-1	0.9745
RNU6-533P	0.9745
RP11-139F9.1	0.9745
AC113331.9	0.9744
RP11-297M9.1	0.9744
RP11-493E3.2	0.9743
AC011516.2	0.9743
CTC-457E21.7	0.9743
RP11-234B24.2	0.9742
AC092171.4	0.9742
RNU6-667P	0.9741
ZNF843	0.9741
MIR4488	0.9741
AC013429.4	0.974
CCR8	0.974
KCTD11	0.9739
RP11-542C16.1	0.9739
TMEM95	0.9739
ZBTB8OSP2	0.9739
PTPN6	0.9739
RNA5SP119	0.9737
HIST1H2BE	0.9735
AC002310.7	0.9735
RP11-146F11.5	0.9735
ZNF785	0.9735
KLK8	0.9734
KLK9	0.998768694456327
AMD1P1	0.9731
TMBIM1	0.998732714748882
CTD-2194F4.2	0.9729
RN7SKP155	0.9729
RP11-124N3.2	0.9727
RPL32P14	0.9727
RP11-159H20.3	0.9727
AC003009.1	0.9726
RNU6-456P	0.9726
RP11-95I19.2	0.9726
RP11-359G22.2	0.99868074406035
RP11-152H18.3	0.9726
NAIF1	0.9724
FTLP18	0.9724
RP11-785G17.1	0.99865675758872
AP003730.1	0.9724
MIR569	0.9723
RNU6-1069P	0.9721
KRT8P23	0.9721
RN7SL278P	0.9721
AC003075.4	0.972
RP5-828K20.1	0.9719
AGO1	0.998612782390732
EI24	0.9718
RNU6-1156P	0.9718
STT3A-AS1	0.9718
MIR517A	0.9718
MIR524	0.9718
RNU6-606P	0.9717
LEPROT	0.9715
RNU6-1331P	0.998572804938015
MIR3115	0.9715
RP11-416L21.2	0.9714
SLITRK3	0.9712
RPS4XP12	0.9712
TSPAN19	0.9706
RNU6-835P	0.9706
AL611946.1	0.9705
RP11-10C24.1	0.9704
RP11-10C24.2	0.9704
RP11-10C24.3	0.9704
ARFIP2	0.9701
TIMM10B	0.999896058622937
RPL13AP3	0.9701
RP11-312A15.3	0.97
RP11-379F4.1	0.9699
RNA5SP308	0.9699
RP11-472F14.4	0.9696
RP4-736H5.3	0.9696
RP11-348A7.1	0.9695
AL139022.1	0.9694
RP11-152O14.1	0.998348931202802
AC122720.1	0.9692
RP11-67M9.1	0.9692
SNX20	0.9692
RP4-575N6.2	0.9691
AC079834.2	0.9691
RN7SKP135	0.969
RNY4P1	0.9689
RN7SL487P	0.9689
BX284613.1	0.9688
RP11-448G4.4	0.9687
LRG_204	0.998264978552097
SGCB	0.998264978552097
AC078852.1	0.9686
AC078852.2	0.9686
ATAD5	0.999892060877665
CTD-2349P21.11	0.998260980806825
RP1-292B18.1	0.9684
RPS23P5	0.9683
ATP5G1P8	0.9676
CTD-2535P7.2	0.9676
RP11-654D12.3	0.9672
SLC9A5	0.9669
AC010883.5	0.9668
SLC35G5	0.9667
KRTAP16-1	0.9667
RP11-29B11.5	0.9666
RPS2P35	0.9666
MIR3170	0.9666
HCN2	0.9665
MIR3665	0.9664
AC016999.2	0.9664
RNU6-1185P	0.998097073250687
NDUFS5P2	0.9663
RN7SL831P	0.9663
RNU6-1301P	0.9663
UBE2FP1	0.9663
AC015969.3	0.9663
RRAGA	0.9661
RP6-91H8.5	0.9661
MIR3914-1	0.966
RP1-168L15.5	0.966
KRT8P13	0.9658
RN7SL335P	0.9657
CTD-2050E21.2	0.9657
CTC-273B12.10	0.9656
LMTK3	0.9656
AC108448.3	0.9655
RP11-982M15.8	0.9654
C15ORF59	0.9654
IFNA5	0.9654
RPL26P35	0.9652
ST13P5	0.965
RP11-339B21.8	0.9649
VAT1	0.9648
DEXI	0.9648
RP4-657M3.2	0.9645
RP1-27K12.4	0.9644
IGFL2	0.9643
RP11-382A20.2	0.9643
TM6SF1	0.9643
CYP4A27P	0.9643
CYP4A44P	0.9643
NDUFS8	0.9642
RP5-901A4.1	0.9642
SLC12A1	0.964
RN7SL611P	0.964
RP11-3L10.2	0.964
LINC00028	0.964
C19ORF82	0.997845215298572
ATAD3B	0.9638
SPATA18	0.9637
RNU6-1155P	0.9637
OR13C8	0.997825226572213
DDX1	0.99781723108167
AC133749.1	0.9636
PRELID2P1	0.9636
RP1-253P7.1	0.9635
SMCR5	0.9635
AC132872.1	0.9635
SLC16A3	0.9635
HAP1	0.997809235591127
RN7SL399P	0.997809235591127
RP11-923I11.7	0.9633
HADHAP1	0.9631
HMGB3P9	0.963
AC072052.7	0.963
RP11-360P21.2	0.9628
RNU6-300P	0.9628
RP1-28H20.3	0.9627
TP53RK	0.9627
CTC-471C19.1	0.997709291959335
RN7SL836P	0.9626
LOC100421166	0.9626
CTD-2207P18.1	0.9625
RP11-429J17.2	0.9625
CTC-518B2.12	0.9624
RP11-132E11.3	0.9623
AC040163.1	0.9622
RP11-300M24.1	0.9621
RP11-565H13.3	0.997653323525532
APITD1	0.962
APITD1-CORT	0.962
CORT	0.962
RPSAP51	0.9619
SNX11	0.9619
AC008746.12	0.9618
CTD-2587H19.3	0.9618
TPI1P1	0.9618
RNU6-806P	0.9617
RP11-466F5.10	0.9616
RP11-748L13.2	0.997621341563358
CACFD1	0.9613
SLC2A6	0.9613
ZBTB2	0.997601352837
TWF1P1	0.9613
RP11-1406H17.1	0.961
MIR1205	0.9608
AC092662.2	0.9607
MTND2P20	0.9607
AL035106.1	0.997541386657925
RP11-507E23.1	0.9606
RPL18A	0.9605
RNF223	0.9605
RP11-465B22.3	0.9605
RPS19P1	0.9604
RP11-573J24.1	0.9602
OSBPL2	0.997469427243035
RPL5P31	0.9602
RPL12L3	0.9601
MEPCE	0.96
PPP1R35	0.96
RP11-758P17.2	0.96
RP11-758P17.3	0.96
AL031666.2	0.9599
RP11-390F4.9	0.9598
POMGNT1	0.9597
MIR203	0.9597
MLEC	0.9597
RP11-173P15.3	0.9597
DHRS11	0.9595
AC140912.1	0.9595
RP11-687M24.8	0.997381476847058
RP11-139K1.2	0.9594
AC110084.1	0.9593
RP11-705C15.3	0.9593
RP11-5P18.5	0.9593
RP11-517O13.1	0.9593
TIMM9	0.9593
NMNAT1P2	0.9592
RNU5F-6P	0.9592
RPL7P43	0.9592
AL354984.1	0.9592
DPPA2P2	0.9591
RP4-569D19.5	0.9587
AC108721.1	0.9584
AC108721.2	0.9584
RP11-272B17.2	0.997277535469995
C8ORF59	0.999792117245873
RPS27P18	0.9579
CTD-2561J22.3	0.9577
LINC00664	0.9577
RP11-524K14.1	0.99719358281929
TMEM66	0.9577
AC040160.1	0.9576
FHOD1	0.997189585074018
LRRC29	0.9576
TMEM208	0.9576
RP11-514A9.1	0.9576
RPS27P1	0.9575
HSPE1P7	0.9575
RP11-410N8.3	0.9574
PYGM	0.9574
AC067751.1	0.9573
CDC42SE1	0.9573
MLLT11	0.9573
FAXDC2	0.9573
RP1-302D9.5	0.997157603111845
RP11-547I7.2	0.9573
NMB	0.9572
CTC-342P15.1	0.957
RPL29P11	0.9569
RP11-582E3.4	0.9569
RP11-724M22.1	0.9568
KRT12	0.9568
RP4-580N22.2	0.9564
CTA-212D2.2	0.9564
ZNF534	0.9563
AC025171.1	0.9561
ANXA2R	0.9561
CTD-2035E11.4	0.9561
RP3-468K18.6	0.956
AC012445.1	0.9559
HSBP1P1	0.9559
RP11-2G17.1	0.996921736140817
MIR151B	0.9556
MIR342	0.9556
KLLN	0.9554
RNU6-777P	0.9553
RP11-426M1.2	0.9553
RP11-526P5.1	0.9552
GSTZ1	0.999728153321527
BDH2	0.999724155576255
RP11-467D10.2	0.9547
RN7SL318P	0.9545
SGOL1-AS1	0.996773819565765
RNA5SP63	0.9542
OR5C1	0.9542
ZNF90P3	0.9542
LDHAP4	0.9541
UBE2V1P6	0.9538
PABPC1	0.9538
RP11-178D12.2	0.9536
CTB-167B5.1	0.9536
EXTL2P1	0.9535
RP5-866L20.1	0.9534
EXOSC1	0.996629900735985
RP11-514D23.1	0.9534
TRAV9-2	0.9533
RNU6-820P	0.9533
RP1-69B13.2	0.9533
RNU6-442P	0.9531
IL17REL	0.953
RP11-189E14.3	0.9529
RP11-80H5.7	0.9528
RP11-80H5.9	0.996529957104193
AC114803.3	0.9528
RP11-130L8.2	0.9527
RP11-304L19.11	0.9526
RN7SL357P	0.9525
AC123767.1	0.9523
FAM132B	0.996446004453488
FABP3	0.952
RP5-945I17.2	0.952
AL353147.1	0.952
RN7SL328P	0.9519
AC112693.2	0.9519
AVPR1A	0.9517
PTPN23	0.9517
SCAP	0.9517
RP11-363N22.2	0.9512
AC006326.5	0.9512
RNA5SP126	0.9511
MT1F	0.951
MIR3650	0.951
RP11-548N1.1	0.9509
SNORA44	0.9507
IGLV8-61	0.9507
LL22NC03-88E1.17	0.9507
BCAS2	0.9505
L34079.4	0.9504
PINLYP	0.9504
AL499628.1	0.9504
CTD-3187F8.7	0.9503
SIGLEC21P	0.9503
AC106706.1	0.9503
GSG1	0.99623412395409
RP11-625H11.1	0.9502
RP11-320A16.1	0.9501
RNA5SP107	0.9498
RP1-111C20.3	0.996166162284472
NEURL4	0.999612218708648
RP11-542C16.2	0.999612218708648
RP11-58G13.1	0.9497
RP11-173G21.1	0.9497
KRT18P56	0.9496
NEBL-AS1	0.9496
AC079341.1	0.9496
TMEM155	0.9496
OR10A2	0.9496
PLK1S1	0.99613817806757
RP4-777D9.2	0.99613817806757
RP5-872K7.7	0.9495
RPS15AP1	0.9495
RPL7P2	0.9495
RNU6-887P	0.9493
RP11-508O18.1	0.9492
AL355512.2	0.9492
RCN3	0.949
GPR171	0.9488
MDM4	0.9488
RP11-430C7.2	0.9488
CLSPN	0.999604223218105
RP11-435D7.3	0.9488
C20ORF173	0.9487
RP3-477O4.5	0.9487
RP11-326I11.3	0.9487
DLEU7-AS1	0.9487
RNA5SP28	0.9487
LINC00690	0.9486
RP5-1185I7.1	0.9485
WARS	0.9483
RP11-299J3.8	0.9482
MTX3	0.9482
RP11-17P16.2	0.995962277275617
CTC-366B18.2	0.948
AC010368.2	0.9479
RP11-252O18.2	0.9479
RP11-317P15.3	0.9477
AC011893.3	0.9476
RP11-432J22.2	0.9475
CTD-2588C8.8	0.9475
AC109826.1	0.9473
ZSWIM8	0.9473
CTA-398F10.2	0.9472
UBA52P9	0.99582635393638
CTD-2292M16.7	0.9469
RP11-394I13.3	0.9469
RBBP9	0.995782378738392
GAPDHP2	0.9466
RP11-631M6.2	0.9465
ATRIP	0.9464
RP11-24C3.2	0.9464
TMA7	0.9464
AP003385.2	0.9461
DRAXIN	0.9461
RNU105C	0.9461
RP11-84A1.1	0.9458
RP11-366I13.3	0.9458
RP11-510I6.1	0.9457
TPI1P4	0.9456
RP11-277I20.2	0.9455
RP11-277I20.3	0.9455
RN7SKP80	0.9455
RRP7B	0.9455
SERHL2	0.9455
ASPM	0.995542514022091
HSPE1P28	0.9454
RN7SL430P	0.9454
HNRNPA3P15	0.9453
RP11-467I20.4	0.9453
RP11-324I22.4	0.9452
RP3-477M7.5	0.9451
RP3-477M7.6	0.9451
RP11-737O24.4	0.945
RP4-683L5.1	0.9448
RP11-196D18.5	0.9448
TRAV1-2	0.9447
RN7SKP112	0.9447
RP11-185E8.1	0.9447
MTND3P4	0.9446
MRPS18BP2	0.9446
AC092578.1	0.9445
RPS3AP32	0.9445
BNIP3P1	0.9444
AC007248.6	0.9443
RNA5SP101	0.99534662450378
IGLV3-26	0.9442
IGLV3-27	0.9442
SNORA29	0.9442
RP11-323A7.1	0.944
AC007312.3	0.944
RNU5E-4P	0.9438
RNA5SP397	0.9438
SLC31A1P1	0.9437
RP11-50D9.3	0.9437
CTD-2587H24.10	0.9436
AC007879.7	0.9436
NDUFAF4	0.9435
CSNK1D	0.995218696655087
RNU6-440P	0.9433
RP11-330O11.3	0.9432
AC073284.4	0.9432
RP11-469M7.1	0.9431
RP11-1100L3.7	0.9431
RP11-49I11.2	0.9427
AC005399.1	0.9426
RP4-560B9.6	0.9425
AC005178.1	0.9423
AC090150.1	0.9423
LINC00094	0.9423
EDDM3B	0.942
OR7H2P	0.942
YPEL4	0.942
AC010525.2	0.9418
RNU6-317P	0.9417
AC131568.1	0.9417
RNU6-1255P	0.9417
RP11-140H17.1	0.9417
CTD-2366F13.1	0.9415
AC068490.1	0.9415
IGLVIV-65	0.9415
IFITM4P	0.9414
AC069082.1	0.9414
CTC-499B15.8	0.9413
AC005779.1	0.9412
RP11-332J15.3	0.9411
KB-1107E3.1	0.9408
MIR3663	0.9408
OR2W2P	0.9408
B4GALT3	0.9408
PPOX	0.9408
AC079807.1	0.9407
ALG2	0.99481892212792
SEC61B	0.99481892212792
AC008991.1	0.9405
OR52B2	0.9405
RP1-152L7.9	0.9404
PSMD6-AS2	0.9403
RP11-245J9.5	0.9403
RP11-147K6.2	0.9403
NCKAP5L	0.9403
BIRC7	0.9402
MIR3196	0.9402
TRBV5-6	0.9401
TRBV6-8	0.9401
RNU6-852P	0.94
RN7SL292P	0.94
CTD-2521M24.11	0.9399
CTB-113I20.1	0.9398
RP11-775L16.1	0.9398
RP11-414H23.2	0.9395
RP11-414H23.3	0.9395
RPL4P3	0.9395
MIR26B	0.994619034864337
AC079922.3	0.9394
ANKRD37	0.9393
AC005013.1	0.9393
AC005013.5	0.9393
TRIL	0.9393
AC005357.1	0.9392
NIPA2P5	0.9392
EPB42	0.9392
TMEM62	0.9392
FBXW7	0.99455507093999
MIR4668	0.9388
FTH1P26	0.9386
RP4-718J7.4	0.9386
MTND3P7	0.9386
MTND4P17	0.9386
RP11-12N13.4	0.9386
RP11-12N13.6	0.9386
RBBP4P1	0.9385
EGLN1P1	0.994463122798741
RP11-182J1.1	0.994463122798741
LACRT	0.9383
HMX2	0.938
RN7SKP270	0.9377
RPL21P112	0.9376
RP11-572O17.1	0.9376
SLBP	0.994343190440591
ARNT	0.9375
MIR4314	0.9375
RP11-321M21.3	0.994311208478418
SCGB1D1	0.9374
NAPG	0.9373
RNA5-8SP3	0.9373
COL8A2	0.994255240044615
HEXIM1	0.9367
SLC25A20P1	0.9367
FXYD7	0.9367
RP11-382D8.5	0.9366
RP11-301G7.1	0.9364
TUBGCP4	0.99414730092228
RP11-708J19.1	0.9363
RP3-430A16.1	0.9363
AC016697.2	0.9363
RP11-677I18.4	0.9361
TPRA1	0.936
SCGB1D5P	0.9359
RP5-974N19.1	0.9358
RP11-65J3.6	0.9357
AC008914.1	0.9355
MEIG1	0.999284403596372
HECTD2	0.9355
ZBTB11	0.9354
RP11-319G6.3	0.9353
MIR4667	0.9352
TESK1	0.9352
TRAV24	0.9352
VIMP1	0.9352
RP11-542A14.2	0.9351
RP11-402L5.1	0.9349
RP11-402L5.2	0.9349
GFOD1-AS1	0.9349
CTD-3224K15.2	0.9348
CTD-3224K15.3	0.9348
SNORA16B	0.9348
RP11-451M19.2	0.9347
PABPC4L	0.9347
SYCN	0.9346
RNU6-321P	0.9345
AC011247.3	0.9344
ZSCAN29	0.99923243290784
RNA5SP147	0.9344
AL353671.3	0.9344
TOPORS-AS1	0.9344
AC020743.2	0.999220439672025
RNA5SP264	0.9343
MESP1	0.9342
MRPL15P1	0.9342
MIR1265	0.9341
RP11-81H3.1	0.99371554443294
RP11-50B3.1	0.9339
MIR548AK	0.9338
AC021016.6	0.9338
C2ORF62	0.9338
MIR3677	0.9338
KCNA5	0.993659575999136
MIR584	0.9337
RNU6-732P	0.9337
RP5-1021I20.2	0.993623596291692
ADNP	0.999984009018913
RP11-379F4.8	0.9335
MCCC1-AS1	0.9334
MTND4P19	0.9334
MYOD1	0.9333
RP11-867G23.8	0.9329
SLC29A2	0.9329
RP11-402L1.12	0.9329
RP11-402L1.4	0.9329
RP11-40M23.1	0.9327
CTB-179K24.3	0.993439700009195
GEMIN7	0.993439700009195
RP3-467L1.6	0.9326
MIR4803	0.9325
KBTBD8	0.993395724811207
RP11-794G24.1	0.9324
NANOGNBP1	0.9324
COX6CP15	0.9323
KRT8P30	0.9322
RP11-188P20.3	0.9321
MIR4671	0.9321
RP11-433J22.2	0.9316
MIR3935	0.9315
RP11-2C24.5	0.9314
RP11-192P9.1	0.9311
RP11-1079K10.2	0.993195837547623
RP1-40G4P.1	0.931
RP11-480G3.1	0.9309
CTD-2015B23.2	0.9307
GS1-251I9.2	0.9307
TMEM55A	0.993131873623276
AC104634.2	0.9307
C2ORF57	0.9307
TRBV11-2	0.9306
RP11-302I18.1	0.9304
RP11-95P2.1	0.9304
MAP10	0.9304
LRG_193	0.999868074406035
TNFRSF1A	0.999868074406035
ATP6V1G1P2	0.93
RP11-1134I14.4	0.93
RP11-1134I14.8	0.93
RP11-18O11.1	0.93
SOWAHB	0.93
RPL39P33	0.93
AC006538.1	0.9299
RP11-62C3.6	0.9299
RP11-545L5.1	0.9297
RP11-680L20.1	0.9296
TUBB8P6	0.9294
AC090099.2	0.9294
GLTPP1	0.9294
RP11-113D6.9	0.99287601792589
AC083760.1	0.9293
PNMA1	0.9292
RP11-252P19.2	0.9289
ARHGEF19	0.9289
HTR5A-AS1	0.9288
AC069200.1	0.9287
AL590403.1	0.9287
IRX5	0.9285
AGO4	0.9282
AC005262.4	0.992640150954861
CD2BP2	0.9278
RP11-347C12.10	0.9278
RP11-554D15.2	0.9277
C9ORF16	0.9277
MT2A	0.9277
RP11-249C24.10	0.9277
RBM15	0.9276
MKNK1-AS1	0.99254020732307
KIAA0907	0.9274
SCARNA4	0.9274
KRTAP4-2	0.9273
ZNF76	0.9272
RP11-26M5.3	0.9272
FTLP5	0.9272
NCAM1-AS1	0.9272
RP11-277A4.4	0.9271
LINC00428	0.927
RP11-18J9.3	0.927
FBXL19	0.927
FBXW12	0.999000563682083
RN7SL321P	0.992456254672365
MIR3939	0.9267
HSPE1P16	0.9267
RNU7-88P	0.9266
AC011747.3	0.992380297512203
RN7SKP44	0.9266
LINC00642	0.9266
RP11-1078H9.1	0.9266
RP11-955H22.2	0.992336322314215
RP11-136B18.2	0.9264
B4GALT2	0.9263
RP11-701I24.3	0.9263
PALM3	0.9261
RP11-1260E13.4	0.9261
RP11-179H18.5	0.992260365154053
RNY1P6	0.926
RP11-25K19.1	0.9259
RPL7P6	0.9258
AC008536.1	0.9258
DCUN1D5	0.992200398974978
RP11-159G9.5	0.9255
ZNF654	0.9255
BMP8A	0.9254
RP11-69E11.4	0.99215642377699
RP11-2G1.2	0.9254
RN7SL523P	0.9251
RP11-262K1.1	0.9251
USF1	0.9251
ZNF517	0.9248
RN7SL601P	0.9248
MIR383	0.9247
PSG1	0.9246
CYP11B1	0.9245
CTD-3113P16.5	0.9243
RP11-587P21.2	0.991912561315418
AC074389.1	0.9241
AC020571.3	0.9241
RP11-56N19.5	0.924
RN7SL801P	0.998860642597575
AC008440.5	0.9238
AC107072.2	0.9238
AC133785.1	0.9238
DKFZP761K2322	0.9238
AC034228.4	0.991760646995095
AC034228.7	0.991760646995095
AP001187.11	0.991752651504551
GABARAPL2	0.9236
SIN3A	0.991704678561291
AL589675.1	0.9235
RNA5SP387	0.9234
RP11-768B22.2	0.991664701108575
RP4-614N24.1	0.9233
RP11-355F22.1	0.991648710127488
UQCRC2	0.9232
RP13-638C3.2	0.9231
AC068491.3	0.9231
RP11-469L4.1	0.991600737184228
RP11-758H6.1	0.991596739438956
UGT1A12P	0.9229
RPL9P33	0.9229
RP11-787I22.3	0.9229
RP11-177C12.1	0.9228
CASP16	0.9228
RP11-473M20.16	0.9228
RP11-200A13.3	0.9228
RP11-545A16.3	0.9227
CTD-2535L24.3	0.9227
RP3-510O8.4	0.9225
RP11-159H20.1	0.9224
RP11-586E1.1	0.991464813844991
RNU6-352P	0.9224
AL136531.1	0.9224
RP11-495P10.3	0.9223
CTD-2290P7.1	0.9223
AC092316.2	0.9223
MTCO3P2	0.9222
RNU6-1230P	0.991396852175373
AC018878.3	0.922
RP11-96D24.1	0.9219
HMGB1P21	0.9217
OR10J7P	0.991312899524668
RFC5	0.998740710239425
RP4-735N21.1	0.9211
RPL15P1	0.9211
RP11-219B17.2	0.991152989713801
RNU7-117P	0.9208
AC092380.1	0.991140996477986
HAUS5	0.9208
RBM42	0.9208
AC109925.1	0.9208
SNRPGP14	0.9207
NLRP9P	0.9205
RP3-370M22.8	0.9205
RP11-762B21.5	0.9204
TAC1	0.9204
AC105398.3	0.9203
NFKB2	0.9203
