gene	p
LRG_217	0.9567
MLH3	0.9567
RNU6-689P	0.9567
OR7E100P	0.9563
CTD-2269E23.3	0.9561
RP11-527H14.1	0.9559
RP11-527H14.2	0.9559
RP11-527H14.3	0.9559
RP11-134K13.4	0.996648488144762
RP11-464F9.21	0.9558
SYNPO2L	0.9558
SLC35D3	0.996611739111261
AC022596.2	0.9557
COTL1P1	0.9557
KRT17P1	0.9557
ZNF296	0.9555
RP11-216N14.8	0.999610460244896
RP11-216N14.9	0.999610460244896
RN7SL122P	0.9552
AC015849.12	0.9551
RP11-822P1.1	0.9551
AC015849.13	0.996534566140911
AC015849.19	0.996534566140911
TAF15	0.999606785341546
D86994.2	0.9547
IGLV2-28	0.9547
IGLV3-26	0.9547
IGLV3-27	0.9547
IGLV3-29	0.9547
IGLVVI-25-1	0.9547
RN7SL8P	0.9547
RP11-402L1.12	0.9546
RP11-402L1.4	0.9546
AURKAIP1	0.9545
CCNL2	0.9545
RP5-890O3.3	0.9545
C1ORF122	0.9543
MANEAL	0.9543
MTF1	0.9543
RP11-109P14.9	0.9543
YRDC	0.9543
RP11-711M9.1	0.9543
RP11-292D4.1	0.996365520586809
FBXW2	0.996358170780108
RP11-27I1.4	0.996358170780108
RN7SKP229	0.954
RP11-461A8.1	0.954
MFSD11	0.9539
RNU6-97P	0.9539
RP11-98I9.4	0.996332446456658
PABPC4L	0.9538
RP11-167N5.5	0.9538
CTB-59C6.3	0.9537
ZNF574	0.9537
AP000889.2	0.999555336694645
IGHV1-58	0.9534
IGHV3-57	0.9534
IGHV3-60	0.9534
IGHV4-59	0.9534
HCST	0.9533
TYROBP	0.9533
CTD-2530H12.5	0.9532
CTD-2530H12.7	0.9532
RP11-409K15.1	0.9531
AL441883.1	0.953
RP1-223E5.4	0.953
RP11-124O11.1	0.9528
RP11-228O6.2	0.9527
AC092332.1	0.996134001675756
RP11-83M16.3	0.996097252642255
CTB-189B5.3	0.9521
RP11-91K8.5	0.996078878125505
OR2A25	0.952
OR2A41P	0.952
AC097506.1	0.952
RNU6-852P	0.996038454188655
OR4C12	0.9517
RP3-329A5.8	0.9517
RP5-1126H10.2	0.9516
EFCAB12	0.9515
RP11-114N19.5	0.9515
KCTD9P1	0.9515
RNU6-258P	0.9515
UGT2A3P7	0.9514
AC093063.2	0.9513
RN7SL626P	0.9512
UBE2L3	0.995935556894854
AL499628.1	0.9509
AC009411.2	0.9509
AC092669.2	0.999474488820944
AC092669.6	0.999474488820944
AC019131.1	0.9508
CENPBD1P1	0.995847359214453
MGC2752	0.9505
DUSP5P1	0.9501
RNA5SP18	0.9501
CTB-96E2.7	0.995755486630702
MIR4723	0.995755486630702
RP11-598C10.2	0.9498
RNU6-1051P	0.995726087403901
AL121748.1	0.995718737597201
CENPQ	0.9498
AC002553.4	0.9495
AC015923.1	0.995674638757001
RP11-269G24.3	0.995674638757001
AC068044.1	0.9494
CCT7	0.9491
PHKG1	0.99561216540005
HMCES	0.995542342236399
OR8J1	0.9485
RPL5P29	0.9485
MAK16	0.9481
AL356270.1	0.948
C1ORF68	0.999364241720443
RP11-214K3.18	0.9477
RP11-214K3.19	0.9477
RP11-214K3.20	0.9477
RP11-214K3.21	0.9477
RP11-214K3.22	0.9477
RP11-214K3.23	0.9477
RP3-329A5.1	0.9476
RP3-406A7.5	0.9475
AP003774.5	0.9475
AC135999.2	0.9473
RP11-570G20.1	0.999904452512899
NFS1	0.995270399388496
OR14I1	0.9466
RP11-196D18.4	0.9466
RP11-196D18.5	0.9466
AL049829.1	0.9465
PABPN1	0.9465
LIME1	0.995218950741595
RP4-583P15.14	0.995218950741595
SLC2A4RG	0.995218950741595
RN7SL845P	0.9464
TEX19	0.9463
OR4K16P	0.9461
CDCA4	0.9461
RP11-727A23.4	0.9461
KRT18P60	0.946
RP11-136I13.2	0.995130753061194
RP11-472M19.2	0.9458
RP11-227D13.1	0.9458
RP11-703I16.3	0.9456
RNU6-27P	0.9456
RP1-298M8.1	0.9456
RPSAP6	0.9454
RP11-412B14.1	0.9454
CKB	0.9453
RP11-600F24.7	0.9453
TRMT61A	0.9453
RP11-582E3.4	0.995013156153993
YWHAQP6	0.9453
RPL7AP34	0.9452
PRKRIRP2	0.9451
RPS20P31	0.994943332990342
RNU6-509P	0.9446
VN1R11P	0.9446
RP11-338E21.3	0.994880859633392
RP11-16E23.3	0.9442
LA16C-444G7.1	0.944
RP11-255N24.4	0.9438
OR10H5	0.9437
KIF9-AS1	0.9437
RNU6-1167P	0.9435
RNU7-5P	0.9434
RP11-831A10.2	0.9432
RPL30P16	0.943
RP11-350J20.12	0.9429
RP11-734E19.1	0.9429
RP11-718B12.5	0.994605241882139
U7	0.9426
AC096664.2	0.9425
NPY6R	0.9424
MRPS35P2	0.9424
RP11-474J18.1	0.994517044201737
RP11-474J18.2	0.9424
RP11-298J20.3	0.9421
RP11-389O22.4	0.9421
KRT18P20	0.9418
RP11-486G15.2	0.9418
RN7SKP263	0.9418
NODAL	0.994373722971086
RP1-30M3.5	0.9416
RP1-30M3.6	0.9416
RP1-288M22.1	0.9416
CCNT1	0.994362698261036
RPL36AP55	0.9415
AE000658.31	0.9414
TRAV2	0.9414
TRAV3	0.9414
AP000997.1	0.999867703479398
HDHD1P3	0.9409
IGFALS	0.9408
NUBP2	0.9408
SPSB3	0.9408
RP11-631M6.2	0.9407
RNU6-1089P	0.9402
AC025750.7	0.994046656572932
RP11-209D14.4	0.94
SIGLEC11	0.9397
ARL14EP	0.9397
ARL6IP1	0.9395
RP11-1035H13.3	0.9395
RPS15A	0.9395
RPL12P11	0.9393
RNU6-540P	0.9392
CTD-3110H11.1	0.9392
GABPB1-AS1	0.99386658630878
MIR4712	0.9392
RP1-150O5.3	0.9392
WDFY3-AS2	0.9391
OR6C3	0.9389
RP11-216F5.1	0.9389
AC073046.25	0.9388
RN7SL137P	0.9387
LAMP1	0.9381
AC009495.1	0.9381
HMGB1P17	0.9379
RP1-38C16.2	0.993642417204427
MRPS36P4	0.9378
MDC1-AS1	0.9378
AC144525.1	0.9377
RP11-20J15.2	0.993587293654177
PROSC	0.993546869717326
TAS2R38	0.993535845007276
AL137118.1	0.9374
RP11-196H14.2	0.993506445780476
AC026700.1	0.9373
PMCH	0.9373
RP11-401F2.2	0.9372
AC120120.1	0.993499095973776
RP11-364P22.1	0.9371
KB-1507C5.3	0.993458672036925
RP13-488H8.1	0.9368
RNU6-558P	0.993396198679975
HMGB3P23	0.9366
RP11-317G6.1	0.998960002351938
RP11-109M19.4	0.9361
RP11-109M19.5	0.9361
RNU6-1099P	0.936
AC104306.1	0.9357
CMTM6	0.9357
CTD-2269E23.2	0.9353
LSP1P3	0.9353
AC098826.5	0.9351
FOXF1	0.998919578415088
AC007563.4	0.935
AC092675.4	0.9349
RN7SL501P	0.9349
RP11-834C11.6	0.9349
RP11-834C11.7	0.9349
ZSCAN29	0.999790530509048
RP11-95P9.1	0.9341
AC117372.1	0.9339
ALG10B	0.992855987887519
NAT9	0.998864454864837
CTD-2310F14.1	0.9335
RNU1-63P	0.9335
AC093642.3	0.9334
RP13-16H11.7	0.9333
CTC-542B22.1	0.999761131282247
AC106883.1	0.933
RP11-211A18.2	0.933
RP11-212E8.1	0.992646518396566
GPR171	0.992510546972615
RP11-354B3.1	0.992506872069265
MIR187	0.9322
Z95152.1	0.932
RP4-633I8.3	0.9319
RPL7P7	0.9319
RP11-360A18.1	0.9319
RP11-64C12.9	0.992396624968763
MYCN	0.992348851225213
PGBD4	0.9313
RNU6-1288P	0.9307
LINC00671	0.9305
RP11-454K7.1	0.9304
RP11-454K7.3	0.9304
RP1-74B13.2	0.99214305663761
RPL29P25	0.9304
CLDN19	0.9304
RN7SKP177	0.9303
MIR4708	0.9303
LINC00941	0.99208058328066
ZMYND19P1	0.9299
MARCKS	0.992029134633759
HNRNPA1P23	0.9298
TAF5	0.9297
CNTNAP3	0.9296
MIR1269A	0.991985035793559
AC008731.1	0.9295
AC005077.12	0.9291
AC005077.8	0.9291
AC005077.9	0.9291
RN7SKP157	0.9291
ZNF845	0.929
RP11-308N19.5	0.9289
AC006000.5	0.9289
RP11-247A12.7	0.9288
RNU6-522P	0.991746167075806
RASEF	0.998643960663835
RN7SL235P	0.928
RP11-432M8.19	0.9278
RN7SKP95	0.9276
HOXB1	0.991580796425054
DUSP22	0.9275
RP11-114M5.3	0.9275
NDUFAF4P1	0.9274
AC104387.1	0.9273
AP000351.4	0.9272
GSTTP1	0.9272
RP11-480G3.1	0.998596186920284
RP11-215G15.5	0.9271
RP11-54F2.1	0.9271
CETN3	0.927
AL035681.1	0.9269
RANGAP1	0.9269
AC097359.2	0.9264
MIR4480	0.9264
UCK1	0.9264
AL365214.1	0.9263
KRT18P65	0.9263
SLC25A1	0.9262
CTD-3025N20.3	0.9912684296403
RNU6-1195P	0.9258
SUB1P2	0.9258
RP11-231I16.1	0.9257
RP11-478C6.1	0.9255
RP11-478C6.2	0.9255
AC012513.4	0.9255
FAM229A	0.9254
TSSK3	0.9254
CTD-2655K5.1	0.9252
ZFAND2A	0.9251
RP5-1092A11.2	0.9249
RN7SL837P	0.9247
RNU6-497P	0.9247
C17ORF47	0.9242
RNU6-261P	0.990886239691896
RP11-588D3.1	0.9239
ABCB8	0.998449190786282
ASIC3	0.990856840465096
AC109351.1	0.9233
EEF1A1P21	0.9233
AC009892.5	0.990757618074645
LILRA1	0.990757618074645
RNU6-393P	0.9232
DPH3P1	0.9231
RP11-472K22.2	0.923
RNU6-155P	0.9229
SIAH2-AS1	0.990673095297594
ABCF1	0.990654720780843
MIR877	0.990654720780843
CXCL3	0.9227
RP11-474P2.2	0.990614296843993
BZW1	0.990599597230593
RNU6-31P	0.9226
RP11-469M7.1	0.9226
RAB11FIP2	0.9225
RP11-354M20.3	0.9225
PRMT5-AS1	0.9224
RP11-218M11.3	0.990544473680342
RPL12P29	0.9222
TNPO1P1	0.990500374840142
RP11-650L12.2	0.9221
HSA-MIR-335	0.922
MEST	0.922
MIR335	0.922
RP11-2E11.10	0.922
CYB5D1	0.9219
TMEM88	0.9219
RPL11	0.990412177159741
RNU6ATAC5P	0.9217
MIR193A	0.9217
RP11-382N13.2	0.998342618589131
RP3-333A15.2	0.9215
NUPL1P1	0.990294580252539
LRRC10	0.9213
RPL21P39	0.921
NAP1L5	0.9209
RP11-82O19.1	0.9209
RNU6-141P	0.92
MIR4691	0.9199
NDUFS8	0.9199
OVOL1	0.9197
OVOL1-AS1	0.9197
CTC-286N12.1	0.9196
RP11-536L3.4	0.9196
RN7SL447P	0.9196
RAB10	0.99827647032883
RP11-91H12.4	0.9192
SNRNP27	0.9192
AC012362.1	0.9191
AC012362.3	0.9191
RN7SL347P	0.919
RP11-516C1.1	0.919
AC022616.1	0.9187
RN7SKP41	0.9187
RP11-726G23.6	0.9187
RP11-566H8.1	0.9186
EIF4A2P3	0.9186
RP11-708L7.6	0.9185
AP001271.3	0.9183
AL592294.1	0.9183
RNU6-551P	0.9182
C8ORF59	0.99820664716518
RPL21P111	0.918
CTC-360P9.1	0.98951917564568
AC007292.3	0.9179
NDUFB7	0.9179
RP5-1013A22.5	0.9175
RP11-63G10.3	0.9174
AC114755.5	0.917
AC114755.7	0.917
RNA5SP391	0.917
AC139100.2	0.989317055961428
RMDN3	0.989247232797777
RN7SL259P	0.9167
SERPINB2	0.9166
RP11-477J21.2	0.9166
CYCSP12	0.9166
CTD-2284O10.3	0.9165
RP11-864I4.3	0.9163
RP11-864I4.4	0.9163
COMMD4	0.9156
NEIL1	0.9156
LRG_271	0.9154
MIR4534	0.9154
SOX10	0.9154
MIR4304	0.9152
RN7SL133P	0.9152
RP11-33M22.2	0.9151
DTX2P1	0.9151
DTX2P1-UPK3BP1-PMS2P11	0.9151
PMS2P11	0.9151
UPK3BP1	0.9151
NADK	0.915
AC099805.1	0.9149
TRAPPC2P2	0.9149
RP11-673E1.1	0.9148
RP11-673E1.3	0.9148
LINC00238	0.9148
CTD-2179L22.1	0.9147
ZNF552	0.9145
ISCA1P6	0.9144
TMSB4XP4	0.988666598068471
SETD6	0.914
GAPDHP64	0.9139
CYCSP26	0.9137
RNU6-882P	0.98855635096797
PRMT5	0.988549001161269
MIR4690	0.9134
GAST	0.988490202707669
ROPN1B	0.9133
RP11-666A20.3	0.9133
AC190387.1	0.9131
RP11-77K12.5	0.9131
RP11-481K9.4	0.9129
AC024028.1	0.9127
NDUFAF1	0.988328506960267
AP003730.1	0.9127
RP11-379J13.1	0.9127
HMGN2P38	0.9127
RP11-78F17.3	0.9126
AC005725.1	0.9126
MIR626	0.9126
CYP2T3P	0.9125
NADK2-AS1	0.9125
RNU6-6P	0.9123
OSBPL9P4	0.9121
OSBPL9P5	0.9121
CLOCK	0.999559011597995
PRR13	0.9117
AC093897.1	0.988100662952564
SERBP1P5	0.999547986887945
RN7SL532P	0.9117
RP11-447H19.3	0.9117
RP11-442J17.3	0.9116
CTD-2334D19.1	0.9115
RN7SL540P	0.9115
AL121761.1	0.987994090755413
RP11-354P11.8	0.9114
CST2P1	0.987975716238663
CTB-164L20.1	0.9113
AC114877.3	0.9112
LTV1P1	0.9111
RNA5SP248	0.9111
RNU7-200P	0.9108
RRP9	0.9107
HNRNPA3P1	0.9103
RP11-156E6.1	0.91
AC021016.6	0.91
C2ORF62	0.91
KB-1639H6.2	0.9099
GNB1	0.997706860309574
MIR4775	0.9095
RP11-801F7.1	0.9095
AC097713.4	0.999496538241044
TPI1P4	0.9093
RN7SL682P	0.9093
SNX18P14	0.9091
RP11-304L19.8	0.909
RNU6-182P	0.987281159505505
AC016909.1	0.9085
TMEM238	0.987240735568655
TPM3P9	0.9084
ZNF761	0.9084
RP11-475A13.2	0.9083
RP11-1149M10.2	0.987192961825104
OR6U2P	0.9081
RP1-66C13.3	0.9081
RP11-144L1.8	0.9081
RP11-505E24.3	0.908
RP11-735B13.2	0.999452439400844
RP11-93B14.6	0.9079
RP11-248E9.4	0.9078
RNA5SP68	0.9077
RNU1-23P	0.9077
AC020934.1	0.9075
CTD-2265O21.7	0.9075
DNASE2	0.9075
RP11-296E23.2	0.9074
RP11-311F12.1	0.9074
CTB-180A7.6	0.987009216657602
KIRREL-IT1	0.986957768010701
AC130464.1	0.9071
SNORD126	0.9071
AC084125.1	0.9071
AC084125.2	0.9071
RP11-360O19.5	0.986939393493951
AC046143.1	0.986932043687251
ZNF664	0.997512090432022
METTL10	0.9064
RNU7-47P	0.9063
RN7SKP215	0.9063
OR6C76	0.9062
RP11-93L14.1	0.9062
AC002070.1	0.9062
GYPE	0.9062
COX5BP7	0.986704199679548
RP11-554A11.4	0.906
RP11-554A11.5	0.997449617075071
MIR346	0.906
RP11-512M8.3	0.9058
RP11-269M20.3	0.9058
RP11-171N4.3	0.9058
AC004158.3	0.9058
AURKC	0.999430389980744
COX18	0.9057
AC008706.1	0.9057
CLDN15	0.986520454512046
AP003385.2	0.986502079995296
PPIF	0.9055
SCAND3P1	0.9054
RPS26P6	0.986388157991445
SRRM1	0.905
KRT8P18	0.9048
RP11-216N14.1	0.9045
RP11-747H7.1	0.9043
RP11-59H7.1	0.9043
CTB-23I7.2	0.986163988887092
CTB-23I7.3	0.986163988887092
RP11-560I19.1	0.986116215143542
TAC1	0.904
DDB1	0.9039
LRG_474	0.9039
VWCE	0.9039
RP4-598G3.1	0.9038
FNTAL1	0.9038
RP11-12D16.2	0.9038
DHX30	0.98595819429949
MIR1226	0.9034
PTP4A1	0.997258522100869
RP5-1148A21.3	0.9033
RP11-589C21.6	0.9032
CTC-287O8.1	0.9032
RP3-337H4.6	0.9032
AL355512.2	0.985892046039189
RNU6-1074P	0.9027
TRNAI2	0.9027
LRG_100	0.9026
RASGRP2	0.9026
RP11-2E11.5	0.985697276161637
AC096534.1	0.9023
RNU6-1286P	0.997199723647268
GAPDHP73	0.985587029061136
RP11-325O24.1	0.9021
RP11-325O24.2	0.9021
RP11-325O24.5	0.9021
AL157788.1	0.902
MIR518B	0.902
AP000641.1	0.9019
OR7E161P	0.9014
RNA5SP238	0.9013
RP5-890E16.4	0.9012
MORF4	0.9009
DUXAP4	0.9008
RP11-692M12.5	0.9008
RP11-512F24.1	0.9006
RP11-116O11.2	0.9005
RPL5P32	0.9004
RP11-4H14.1	0.9003
MARCH5	0.997071102030017
FTH1P26	0.9003
RNU6-766P	0.9003
RP11-544D21.1	0.98509826691558
ERMN	0.9002
AY269186.2	0.9002
SPATA2P1	0.8998
CTD-2195M15.1	0.8996
RP13-726E6.2	0.8996
RPS3AP39	0.8996
RP11-407P18.1	0.984818974260977
AF186192.6	0.8986
RNU1-75P	0.8986
RP5-1132H15.2	0.8985
RNU7-180P	0.8985
RP11-554D14.1	0.984521307089623
RP11-554D14.2	0.8984
RP11-554D14.3	0.8984
RP13-379L11.3	0.8983
ZNF738	0.8983
AC092664.1	0.8982
CACYBPP1	0.8981
RN7SL613P	0.984385335665672
SNORD103B	0.8979
CA5AP1	0.8978
OR6W1P	0.984322862308721
PTAFR	0.8976
RP11-573M3.4	0.8975
DPEP1	0.98421629011157
CKAP5	0.999805230122448
GS1-278J22.1	0.984150141851269
RNA5SP479	0.8972
TRBV1	0.8971
TRBV2	0.8971
HMGN2P27	0.897
EML3	0.8966
MTA2	0.8966
ROM1	0.8966
RP11-831H9.3	0.8966
AC009411.1	0.8966
AC008746.12	0.8962
CTD-2587H19.3	0.8962
AL049542.1	0.8961
RNU6-673P	0.8961
RNU6ATAC7P	0.983793676226315
RP4-583P15.10	0.999239295006541
EIF2S2	0.983775301709565
RPS4XP21	0.983738552676065
RP11-69E11.4	0.8957
OR7E101P	0.8957
MIR1280	0.8957
RP11-63A2.2	0.8954
RSF1-IT2	0.8948
MIR4474	0.8948
RP13-635I23.3	0.999191521262991
KRT18P4	0.8944
TBR1	0.983209366593659
RNA5SP287	0.8943
ABCC5-AS1	0.8941
GDPGP1	0.983154243043408
AC092646.1	0.894
AP000462.1	0.8938
RP11-181B18.1	0.99646474297726
RNU6-700P	0.982981522585956
RP11-713P17.4	0.982977847682606
RP11-612B6.1	0.982930073939055
CTAGE16P	0.8933
RNY4P29	0.8933
RP11-26M5.3	0.8932
RP5-1057J7.6	0.8929
RP11-805L22.2	0.8929
